Word,cgram,freqfilms2,islem,puorth
batie,VER,1.58,0,0
batir,VER,5.62,1,5
batis,ADJ,0.04,0,0
batis,NOM,0,0,0
batis,VER,0.86,0,0
batit,VER,1.16,0,0
baton,NOM,13.4,1,5
bates,VER,0,0,0
bates,ADJ,0.03,0,0
begue,ADJ,0.12,1,2
begue,NOM,0.2,1,2
beait,VER,0.1,0,0
beant,ADJ,0.34,1,5
beant,VER,0.04,0,5
beate,ADJ,0.05,0,0
beats,ADJ,0,0,0
beats,NOM,0,0,0
bebes,NOM,17.81,0,0
becot,NOM,0.41,1,5
bedes,NOM,0.2,0,0
beent,VER,0.1,0,0
begum,NOM,0,1,5
bemol,NOM,0.88,1,5
benef,NOM,0.43,1,4
benie,VER,5.51,0,0
benin,ADJ,0.56,1,5
benir,VER,2.36,1,5
benis,VER,6.64,0,0
benit,VER,0.69,0,5
benit,ADJ,0.72,1,5
beret,NOM,1.19,1,4
beryl,NOM,0.02,1,5
besef,ADV,0.01,1,4
betel,NOM,2.94,1,4
beton,NOM,6.41,1,5
bevue,NOM,0.28,1,3
bezef,ADV,0.01,1,4
beche,NOM,0.42,1,5
beche,VER,0.03,0,5
beche,VER,0,0,0
beler,VER,0.02,1,5
betas,ADJ,0.01,0,0
betas,NOM,0.01,0,0
betes,ADJ,5.22,0,0
betes,NOM,23.82,0,0
bûche,NOM,2.09,1,5
bûche,VER,0.05,0,5
bûche,VER,0.07,0,0
bûmes,VER,0.03,0,0
caban,NOM,0.14,1,5
cabas,NOM,0.14,1,5
cabot,NOM,1.45,1,5
cabra,VER,0,0,0
cabre,VER,0.2,0,0
cabri,NOM,0.07,1,5
cabre,VER,0.1,0,0
cabus,ADJ,0,1,4
cacao,NOM,1.29,1,5
cacas,NOM,0.04,0,0
cacha,VER,1.13,0,0
cache,NOM,3.88,1,5
cache,VER,44.82,0,5
cache,VER,32.13,0,5
cache,ADJ,4.27,1,5
caddy,NOM,0.81,1,5
cadet,ADJ,2.54,1,5
cadet,NOM,3.71,1,5
cador,NOM,0.41,1,5
cadre,NOM,10.98,1,5
cadre,VER,0.66,0,5
cadre,VER,0.1,0,0
caduc,ADJ,0.14,1,5
cafre,NOM,0.03,1,4
cafte,VER,0.2,0,0
cafte,VER,0.37,0,0
cafes,NOM,6,0,0
cages,NOM,1.69,0,0
cagna,NOM,0.01,1,5
cagne,NOM,0,1,5
cagot,ADJ,0,1,5
cagot,NOM,0,1,5
cagou,NOM,0.01,1,5
cague,VER,0,0,0
cahot,NOM,0.01,1,5
cairn,NOM,0.03,1,5
cajou,NOM,0.17,1,5
cajun,ADJ,0.47,1,4
cajun,NOM,0.18,1,4
cakes,NOM,0.56,0,0
calai,VER,0.01,0,0
calao,NOM,0.01,1,5
calce,VER,0,0,0
caler,VER,0.77,1,5
cales,NOM,1.08,0,0
cales,VER,0.06,0,0
calez,VER,0.22,0,0
calla,NOM,0.13,1,5
calla,VER,0.01,0,5
calle,VER,0.63,0,0
calma,VER,0.04,0,0
calme,ADJ,58.78,1,5
calme,NOM,105.08,1,5
calme,VER,94.16,0,5
calmi,VER,0,0,0
calme,VER,4.41,0,0
calot,NOM,0.12,1,5
calte,VER,0.02,0,0
calus,NOM,0,1,5
calva,NOM,0.03,1,5
calee,VER,0.25,0,0
calee,ADJ,0.14,0,0
cales,VER,0.19,0,0
cales,ADJ,0.03,0,0
camer,VER,0.3,1,5
cames,NOM,0.28,0,0
camez,VER,0.01,0,0
campa,VER,0.06,0,0
campe,VER,0.89,0,0
campo,NOM,0.47,1,5
camps,NOM,9.01,0,0
campe,VER,0.74,0,5
campe,ADJ,0,1,5
camus,ADJ,0.01,1,4
camus,NOM,0.16,1,4
camee,VER,0.11,0,5
camee,ADJ,0.13,0,5
camee,NOM,0.47,1,5
cames,VER,0.06,0,0
cames,ADJ,0.12,0,0
cames,NOM,0.97,0,0
canal,NOM,14.2,1,5
canas,VER,0,0,0
candi,ADJ,0.24,1,5
candi,VER,0,0,5
caner,VER,0.04,1,5
canes,NOM,0.13,0,0
canif,NOM,0.91,1,5
canin,ADJ,0.56,1,5
canna,NOM,0.1,1,5
canne,NOM,10.21,1,5
canne,VER,0.01,0,5
canne,VER,0.02,0,5
canne,ADJ,0,1,5
canon,ADJ,7.78,1,5
canon,NOM,14.89,1,5
canot,NOM,3.31,1,5
canoe,NOM,1.73,1,5
canut,NOM,0,1,5
canes,VER,0,0,0
caoua,NOM,0.07,1,5
caper,VER,0.02,1,5
capes,NOM,0.85,0,0
capoc,NOM,0,1,5
capon,ADJ,0.14,1,5
capos,NOM,0.14,0,0
capot,ADJ,0,1,5
capot,NOM,3.13,1,5
cappa,NOM,0.01,1,5
capta,VER,0,0,0
capte,VER,3.84,0,0
capte,VER,2.03,0,0
caque,NOM,0.12,1,5
carat,NOM,0.14,1,5
carde,NOM,0.01,1,5
carde,VER,0.01,0,5
carde,VER,0,0,5
caret,NOM,0,1,5
carex,NOM,0,1,5
cargo,NOM,4.18,1,5
carie,NOM,0.38,1,5
caris,NOM,0,0,0
carie,ADJ,0,1,5
carma,VER,0.01,0,0
carme,NOM,0,1,5
carme,VER,0,0,0
carne,NOM,1.09,1,5
carne,ADJ,0,1,5
carpe,NOM,2.42,1,5
carpe,ADJ,0.02,1,5
carra,VER,0,0,0
carre,NOM,0.02,1,5
carre,VER,0.17,0,5
carry,NOM,0.61,1,5
carre,VER,0.34,0,5
carre,ADJ,2.67,1,5
carre,NOM,3.48,1,5
carta,VER,0.01,0,0
carte,NOM,96.11,1,5
carte,VER,0,0,0
carvi,NOM,0.04,1,4
casas,VER,0.11,0,0
caser,VER,2.12,1,5
cases,NOM,0.78,0,0
cases,VER,0.19,0,0
cassa,VER,0.12,0,0
casse,NOM,12.42,1,5
casse,VER,41.32,0,5
casse,VER,42.71,0,5
casse,ADJ,11.48,1,5
caste,NOM,0.5,1,5
casee,VER,0.31,0,0
cases,VER,0.33,0,0
catch,NOM,2.47,1,5
catho,NOM,1.01,1,5
catin,NOM,2.21,1,5
cauri,NOM,0,1,4
causa,NOM,0.14,1,5
causa,VER,0.38,0,5
cause,NOM,213.51,1,5
cause,VER,17.1,0,5
cause,VER,14.06,0,0
caver,VER,0,1,5
caves,ADJ,0.02,0,0
caves,NOM,2.42,0,0
cavum,NOM,0.01,1,4
cavee,NOM,0,1,4
caids,NOM,0.44,0,0
cañon,NOM,0.07,1,3
ceins,VER,0,0,0
ceint,VER,0.17,0,5
ceint,ADJ,0,1,5
celer,VER,0.4,1,4
cella,NOM,0.28,1,5
celle,NOM,0.02,1,5
celle,PRO:dem,141.28,1,5
celte,ADJ,0.32,1,5
celte,NOM,0.01,1,5
celui,PRO:dem,250.13,1,5
celee,VER,0,0,0
cense,ADJ,38.22,1,5
cents,ADJ:num,27.67,1,5
cerfs,NOM,1.39,0,0
cerna,VER,0,0,0
cerne,NOM,0.12,1,5
cerne,VER,0.43,0,5
cerne,VER,1.97,0,5
cerne,ADJ,0.13,1,5
cessa,VER,0.64,0,0
cesse,NOM,28.86,1,5
cesse,VER,11.89,0,5
cesse,VER,13.89,0,0
ceste,NOM,0,1,4
cette,ADJ:dem,1902.27,1,4
chair,ADJ,1.72,1,5
chair,NOM,36.01,1,5
chais,NOM,0.1,0,0
chaix,NOM,0,1,5
champ,NOM,38.05,1,5
chand,NOM,0,1,5
chant,NOM,17.64,1,5
chaos,NOM,11.3,1,5
chape,NOM,0.1,1,5
chars,NOM,3.27,0,0
chats,NOM,16,0,0
chaud,ADJ,50.2,1,5
chaud,ADV,39.06,1,5
chaud,NOM,12.1,1,5
chaut,VER,0.01,1,5
chaux,NOM,1.32,1,5
cheap,ADJ,0.5,1,4
cheap,NOM,0.04,1,4
chefs,NOM,15.46,0,0
cheik,NOM,0.45,1,5
chenu,ADJ,0.14,1,5
chers,ADJ,28.61,0,0
chica,NOM,0.68,1,5
chics,ADJ,1.95,0,0
chics,NOM,0.04,0,0
chien,NOM,158.77,1,5
chier,VER,53.3,1,5
chies,VER,1.22,0,0
chiez,VER,0.21,0,0
chili,NOM,2.18,1,5
china,VER,0.76,0,0
chine,NOM,0.67,1,5
chine,VER,0,0,5
chine,VER,0,0,5
chine,ADJ,0.03,1,5
chiot,NOM,3.98,1,5
chipa,VER,0,0,0
chipe,VER,0.45,0,0
chips,NOM,6.72,1,5
chipe,VER,0.6,0,0
chiee,VER,0.19,0,4
chiee,NOM,0.22,1,4
chies,VER,0.01,0,0
chocs,ADJ,0.17,0,0
chocs,NOM,1.24,0,0
choie,VER,0.02,0,0
choir,VER,0.33,1,5
chois,VER,0.01,0,0
choit,VER,0,0,0
choix,NOM,113.35,1,5
choke,NOM,0.01,1,4
chope,NOM,0.41,1,5
chope,VER,4.08,0,5
chope,VER,3.42,0,0
chose,NOM,1321.79,1,5
choux,NOM,4.2,0,0
choya,VER,0,0,0
choye,VER,0.06,0,5
choye,ADJ,0,1,5
chtar,NOM,0.04,1,5
chues,VER,0,0,0
chulo,NOM,0.34,1,4
chuta,VER,0.02,0,0
chute,NOM,21.01,1,5
chute,VER,1.97,0,5
chute,VER,1.87,0,0
chyle,NOM,0,1,4
chale,NOM,2.08,1,5
chere,ADJ,40.8,0,0
chere,NOM,26.37,0,0
cheri,ADJ,28.45,1,5
cheri,NOM,69.08,1,5
cheri,VER,7.21,0,5
chene,NOM,4.25,1,5
chome,VER,0.18,0,0
chome,VER,0.24,0,5
chome,ADJ,0.01,1,5
cible,NOM,28.69,1,5
cible,VER,0.45,0,0
cidre,NOM,2,1,5
ciels,NOM,0.1,0,0
cieux,NOM,20.05,1,4
cigle,VER,0,0,0
cigle,VER,0,0,0
cigue,NOM,0.2,1,4
cilla,VER,0,0,0
cille,VER,0.05,0,0
cille,VER,0.19,0,0
cimes,NOM,0.7,0,0
cines,NOM,0.02,0,0
cipal,NOM,0.01,1,5
cirer,VER,3.29,1,5
cires,NOM,0.1,0,0
cires,VER,0.01,0,0
cirez,VER,0.14,0,0
ciron,NOM,0,1,4
ciree,VER,0.14,0,0
cires,VER,0.14,0,0
cires,ADJ,0.01,0,0
cires,NOM,0.46,0,0
ciste,NOM,0.01,1,5
citai,VER,0,0,0
citer,VER,4.38,1,5
cites,VER,0.63,0,0
citez,VER,1.37,0,0
citat,VER,0,0,0
citee,VER,0.53,0,0
citee,ADJ,0.18,0,0
cites,VER,0.17,0,0
cites,ADJ,0.13,0,0
cites,NOM,1.56,0,0
civet,NOM,0.78,1,5
civil,ADJ,5.92,1,5
civil,NOM,5.64,1,5
claie,NOM,0.01,1,5
claim,NOM,0.08,1,5
clair,ADJ,88.54,1,5
clair,NOM,12.61,1,5
clama,VER,0,0,0
clame,VER,0.67,0,0
clamp,NOM,0.97,1,5
clams,NOM,0.28,0,0
clame,VER,0.12,0,0
clans,NOM,1.22,0,0
clape,VER,0,0,0
clape,VER,0,0,0
clash,NOM,1.7,1,5
class,ADJ,0.51,1,5
clean,ADJ,4.66,1,5
clebs,NOM,2,1,4
clefs,NOM,9.72,0,0
clerc,NOM,0.73,1,5
click,NOM,0.4,1,5
clics,NOM,0.22,0,0
clins,NOM,0.34,0,0
clips,NOM,0.86,0,0
clito,NOM,0.36,1,5
clodo,NOM,3.36,1,4
clone,NOM,2.48,1,5
clone,VER,0.1,0,5
clone,VER,0.46,0,0
clope,NOM,7.87,1,5
clope,VER,0.01,0,5
clora,VER,0.01,0,0
clore,VER,1.42,1,4
close,VER,2.26,0,0
close,ADJ,2.16,0,0
cloua,VER,0.14,0,0
cloue,VER,1.12,0,0
clous,NOM,6.04,0,0
cloue,VER,2.4,0,5
cloue,ADJ,0.16,1,5
cloue,NOM,0,1,5
clown,NOM,0.06,1,5
clubs,NOM,5.52,0,0
cluse,NOM,0,1,5
coach,NOM,7.33,1,5
coati,NOM,0.01,1,4
cobol,NOM,0.01,1,4
cobra,NOM,3.96,1,4
cocas,NOM,0.45,0,0
cocha,VER,0,0,0
coche,NOM,1.23,1,5
coche,VER,0.17,0,5
coche,VER,0.41,0,0
cocon,NOM,1.07,1,5
cocos,NOM,1.84,0,0
cocue,ADJ,0.45,0,0
cocue,NOM,0.12,0,0
cocus,ADJ,0.23,0,0
cocus,NOM,0.5,0,0
coder,VER,0.16,1,5
codes,NOM,7.42,0,0
codes,VER,0.05,0,0
codex,NOM,0.62,1,5
codon,NOM,0.01,1,4
codee,VER,0.23,0,0
codee,ADJ,0.56,0,0
codes,VER,0.16,0,0
codes,ADJ,0.34,0,0
coeur,NOM,224.98,1,5
cogna,VER,0.13,0,0
cogne,NOM,0.81,1,5
cogne,VER,7.36,0,5
cogne,VER,6.94,0,0
cohue,NOM,0.88,1,4
coing,NOM,0.67,1,5
coins,NOM,6.08,0,0
coite,ADJ,0,0,0
cokes,NOM,0.05,0,0
colas,NOM,0.01,0,0
colin,NOM,0.27,1,5
colis,NOM,7.5,1,5
colla,VER,0.26,0,0
colle,NOM,7.95,1,5
colle,VER,18.32,0,5
colle,VER,6.66,0,0
colon,NOM,1.21,1,5
colos,NOM,0.01,0,0
colts,NOM,0.4,0,0
colza,NOM,0.05,1,4
colee,NOM,0.01,1,5
comac,ADJ,0.14,1,5
comas,NOM,0.08,0,0
combe,NOM,0.07,1,5
combi,NOM,0.67,1,5
combo,NOM,0.4,1,5
comma,NOM,0.03,1,5
comme,ADV,577.64,1,5
comme,CON,2326.08,1,5
compo,NOM,0.06,1,5
comte,NOM,12.89,1,5
comte,NOM,10.96,1,5
condo,NOM,0.61,1,5
conde,NOM,0.05,1,5
conga,NOM,0.14,1,5
conge,NOM,18.16,1,5
conne,ADJ,3.88,0,0
conne,NOM,8.57,0,0
connu,VER,70.33,0,5
connu,ADJ,8.28,1,5
conso,NOM,0.13,1,5
conta,VER,0.01,0,0
conte,NOM,8.84,1,5
conte,VER,0.24,0,5
conte,VER,0.47,0,0
conçu,VER,9.04,0,4
conçu,ADJ,0.36,1,4
coope,NOM,0.02,1,5
copal,NOM,0.01,1,5
copia,VER,0.01,0,0
copie,NOM,16.88,1,5
copie,VER,0.91,0,5
copie,VER,2.17,0,0
copla,NOM,0,1,4
coppa,NOM,0.01,1,4
copra,NOM,0.04,1,5
copte,ADJ,0,1,4
copte,NOM,0.02,1,4
coque,NOM,4.6,1,5
coran,NOM,1.96,1,5
coras,NOM,0,0,0
corde,NOM,28.89,1,5
corde,VER,0.13,0,5
corde,VER,0,0,5
corde,ADJ,0,1,5
corna,VER,0,0,0
corne,NOM,2.63,1,5
corne,VER,0.01,0,5
cornu,ADJ,0.17,1,5
corne,VER,0.02,0,5
corne,ADJ,0,1,5
coron,NOM,0.01,1,5
corps,NOM,250.15,1,5
corsa,VER,0.14,0,0
corse,ADJ,2.17,1,5
corse,NOM,0.15,1,5
corse,VER,0.69,0,5
corso,NOM,0.48,1,5
corse,VER,0.33,0,5
corse,ADJ,0.23,1,5
cosmo,ADV,1.07,1,5
cosse,NOM,0.34,1,5
cossu,ADJ,0.04,1,5
cosys,NOM,0,0,0
coter,VER,0.02,1,5
cotes,NOM,0.98,0,0
cotes,VER,0.14,0,0
coton,NOM,10.06,1,5
cotre,NOM,0.03,1,5
cotte,NOM,0.3,1,5
cotat,VER,0,0,0
cotee,VER,0.08,0,0
cotee,ADJ,0.03,0,0
cotes,VER,0.38,0,0
cotes,ADJ,0.95,0,0
couac,NOM,0.11,1,5
coude,NOM,5.36,1,5
couds,VER,0.34,0,0
coude,VER,0.01,0,5
coude,ADJ,0.03,1,5
couic,NOM,0.64,1,5
coula,VER,0.18,0,0
coule,NOM,1.14,1,5
coule,VER,14.7,0,5
coule,VER,6.46,0,5
coule,ADJ,0.36,1,5
coule,NOM,0.38,1,5
coupa,VER,0.69,0,0
coupe,NOM,29.16,1,5
coupe,VER,32.66,0,5
coups,NOM,82.33,0,0
coupe,VER,30.34,0,5
coupe,ADJ,2.94,1,5
coupe,NOM,1.22,1,5
coure,VER,0.72,0,0
cours,VER,18.75,0,5
cours,NOM,143.05,1,5
court,VER,19.25,0,5
court,ADJ,17.42,1,5
court,ADV,7.24,1,5
court,NOM,7.59,1,5
couru,VER,12.76,0,5
couru,ADJ,0.63,1,5
couse,VER,0.06,0,0
cousu,VER,1.18,0,5
cousu,ADJ,0.14,1,5
couve,VER,1.54,0,0
couve,VER,0.17,0,0
coits,NOM,0.03,0,0
coite,VER,0,0,0
coûta,VER,0.05,0,0
coûte,VER,38.84,0,0
coûts,NOM,1.46,0,0
coûte,VER,14.35,0,0
crabe,NOM,4.9,1,5
crabs,NOM,0.41,1,5
crack,NOM,7.3,1,5
crade,ADJ,1.19,1,5
crado,ADJ,0.17,1,5
craie,NOM,5.66,1,5
crama,VER,0,0,0
crame,VER,1.17,0,0
crame,VER,1.5,0,0
crane,NOM,0.96,1,5
crans,NOM,0.36,0,0
craps,NOM,0.73,1,5
crase,NOM,0.01,1,5
crash,NOM,6.68,1,5
crawl,NOM,0,1,5
credo,NOM,0.78,1,4
creek,NOM,0.77,1,4
creux,ADJ,3.32,1,5
creux,NOM,2.83,1,5
creva,VER,0.03,0,0
creve,VER,9.34,0,5
creve,ADJ,3.1,1,5
criai,VER,0.02,0,0
crics,NOM,0.03,0,0
crier,VER,31.49,1,5
cries,VER,5.64,0,0
criez,VER,6.57,0,0
crime,NOM,81.77,1,5
crins,NOM,0.14,0,0
crise,NOM,43.51,1,5
criat,VER,0,0,0
criee,VER,0.17,0,4
criee,NOM,0.05,1,4
cries,VER,0.01,0,0
croco,NOM,0.75,1,5
crocs,NOM,2.53,0,0
croie,VER,5.43,0,0
crois,VER,904.45,0,0
croit,VER,68.72,0,0
croix,NOM,29.1,1,5
cross,NOM,0.22,1,5
croup,NOM,0.09,1,5
crown,NOM,0.03,1,4
crois,VER,0.01,0,0
croit,NOM,0.01,1,5
croit,VER,1.2,0,5
cruel,ADJ,15.64,1,5
crues,VER,0,0,0
crues,VER,0.2,0,0
crues,ADJ,0.34,0,0
crues,NOM,0.28,0,0
crana,VER,0,0,0
crane,ADJ,1.19,1,5
crane,NOM,26.88,1,5
crane,VER,0.65,0,5
crane,VER,0.02,0,0
creme,ADJ,2.46,1,4
creme,NOM,19.72,1,4
creve,VER,13.21,0,4
creve,NOM,5.75,1,4
creai,VER,0,0,0
crecy,NOM,0.02,1,5
creer,VER,28.15,1,4
creez,VER,0.75,0,0
crepi,NOM,0,1,5
crepi,VER,0.07,0,5
crepu,ADJ,0.25,1,5
creat,VER,0,0,0
creee,VER,4.58,0,0
crees,VER,3.16,0,0
crepe,NOM,3.27,1,5
crepe,VER,0.04,0,5
crepe,VER,0.15,0,5
crete,NOM,3.52,1,5
crete,VER,0,0,5
cubes,NOM,1.24,0,0
cubes,VER,0.03,0,0
cucul,ADJ,0.57,1,5
cueva,NOM,0.23,1,4
cuira,VER,0.35,0,0
cuire,VER,9.12,1,5
cuirs,NOM,0.14,0,0
cuise,VER,0.32,0,0
cuite,ADJ,2.79,0,5
cuite,NOM,1.41,1,5
cuits,VER,2.4,0,0
cuits,ADJ,0.66,0,0
cuite,VER,0.07,0,0
culer,VER,0.03,1,5
culex,NOM,0.02,1,5
culot,NOM,9.24,1,5
culte,NOM,4.74,1,5
culee,NOM,0,1,4
cumin,NOM,0.5,1,4
cumul,NOM,0.02,1,5
curer,VER,0.8,1,5
cures,NOM,0.48,0,0
cures,VER,0.03,0,0
curie,NOM,0.36,1,5
curry,NOM,1.65,1,5
curve,ADJ,0.09,1,5
curee,VER,0,0,5
curee,NOM,0.06,1,5
cures,VER,0,0,0
cures,NOM,2.08,0,0
cutis,NOM,0,0,0
cuver,VER,0.51,1,5
cuves,NOM,0.53,0,0
cuvee,VER,0.01,0,4
cuvee,NOM,0.55,1,4
cycas,NOM,0.01,1,4
cycle,NOM,5.69,1,5
cyclo,NOM,1.06,1,5
cygne,NOM,5.28,1,3
cymes,NOM,0,0,0
cynos,NOM,0,0,0
czars,NOM,0,0,0
cabla,VER,0,0,0
cable,NOM,13.36,1,5
cable,VER,0.06,0,5
cable,VER,0.18,0,5
cable,ADJ,0.1,1,5
calin,ADJ,0.37,1,5
calin,NOM,4.11,1,5
capre,NOM,0.11,1,5
cedre,NOM,0.47,1,3
cepes,NOM,0.75,0,0
ceans,ADV,0.32,1,4
ceara,NOM,0.14,1,4
cedai,VER,0,0,0
ceder,VER,7.17,1,4
cedez,VER,1.13,0,0
cedat,VER,0,0,0
cedee,VER,0,0,0
cedes,VER,0.13,0,0
cegep,NOM,0.54,1,4
cepee,NOM,0,1,4
cesar,NOM,0.01,1,5
colon,NOM,0.23,1,3
cones,NOM,0.3,0,0
cotes,NOM,9.31,0,0
cotes,NOM,35.48,0,0
daces,ADJ,0.01,0,0
daces,NOM,0,0,0
dache,NOM,0,1,4
dadas,NOM,0.1,0,0
dague,NOM,2.19,1,5
dague,VER,0,0,0
dahus,NOM,0.01,0,0
daims,NOM,0.25,0,0
daine,NOM,0,1,4
dakin,NOM,0.03,1,4
dalle,NOM,12.35,1,5
dalle,VER,1.19,0,5
dalle,VER,0,0,0
damas,NOM,0.42,1,5
damer,VER,0.04,1,5
dames,NOM,24.7,0,5
dames,VER,3.44,0,5
dames,NOM,0,1,5
damez,VER,0.02,0,0
damne,VER,0.14,0,0
damne,VER,2.12,0,5
damne,ADJ,0.44,1,5
damne,NOM,1.2,1,5
damee,VER,0,0,0
dandy,NOM,2.61,1,5
dansa,VER,0.07,0,0
danse,NOM,46.92,1,5
danse,VER,23.48,0,5
danse,VER,5.94,0,0
darce,NOM,0.02,1,4
darda,VER,0,0,0
darde,VER,0.03,0,0
dards,NOM,0.31,0,0
darde,VER,0.01,0,0
darne,NOM,0,1,4
daron,NOM,0.01,1,4
darse,NOM,0,1,4
dater,VER,1.48,1,5
dates,NOM,4.53,0,0
dates,VER,0.14,0,0
datez,VER,0.04,0,0
datif,NOM,0.02,1,4
datte,NOM,0.24,1,5
datee,VER,0.34,0,0
dates,VER,0.09,0,0
daube,NOM,0.98,1,5
daube,VER,0.01,0,0
deale,VER,1.14,0,0
deals,NOM,0.71,0,0
deale,VER,0.1,0,0
decca,NOM,0.26,1,4
degre,NOM,7.93,1,3
delco,NOM,0.27,1,4
delta,NOM,6.5,1,5
demie,ADJ,12.98,0,0
demie,NOM,1.61,0,0
demis,ADJ,0.02,0,0
demis,NOM,0.19,0,0
denim,NOM,0.04,1,5
dense,ADJ,1.69,1,5
dents,NOM,60.94,0,0
dente,ADJ,0,1,5
derby,NOM,0.36,1,4
derme,NOM,0.52,1,5
dette,NOM,12.77,1,3
deuil,NOM,12.21,1,4
devez,VER,150.16,0,0
devin,NOM,1.61,1,5
devis,NOM,0.94,1,5
devon,NOM,0.04,1,5
devra,VER,22.45,0,0
dhole,NOM,0.08,1,3
diams,NOM,0.26,0,0
diane,NOM,0.03,1,5
diapo,NOM,0.66,1,5
dicos,NOM,0.02,0,0
dicta,VER,0.11,0,0
dicte,VER,2.78,0,0
dicte,VER,1.22,0,0
dieux,NOM,50.49,0,0
digit,NOM,0.01,1,5
digne,ADJ,21.96,1,5
digue,NOM,1.02,1,4
dilua,VER,0,0,0
dilue,VER,0.28,0,0
dilue,VER,0.26,0,0
dinar,NOM,0.34,1,5
dinde,NOM,8.79,1,5
dingo,ADJ,0.95,1,5
dingo,NOM,0.67,1,5
diode,NOM,0.07,1,5
dirai,VER,82.39,0,0
diras,VER,22.52,0,0
dires,NOM,1.94,0,0
direz,VER,13.72,0,0
dirlo,NOM,0.4,1,4
disco,ADJ,1.76,1,5
disco,NOM,1.79,1,5
dises,VER,11.41,0,0
dispo,ADJ,0.44,1,5
dites,VER,311.69,0,0
dites,ADJ,10.59,0,0
divan,NOM,4.89,1,5
divas,NOM,0.56,0,0
divin,ADJ,10.01,1,5
dixie,NOM,1.4,1,5
dixit,ADJ,0.54,1,5
diese,NOM,0.25,1,4
diese,VER,0.51,0,4
diete,NOM,0.42,1,4
djinn,NOM,0.34,1,4
doche,NOM,0,1,4
docks,NOM,2.18,0,0
docte,ADJ,0.17,1,5
docte,NOM,0,1,5
dodos,NOM,0.01,0,0
dodue,ADJ,0.13,0,0
dodus,ADJ,0.23,0,0
doges,NOM,0.11,0,0
dogme,NOM,0.49,1,5
dogue,NOM,0.14,1,5
doigt,NOM,39.83,1,5
doive,VER,5.5,0,0
dolby,NOM,0.05,1,4
dolce,ADV,1.53,1,4
donna,VER,6.28,0,0
donne,NOM,23.73,1,5
donne,VER,401.06,0,5
donne,VER,234.66,0,5
donne,ADJ,5.32,1,5
donne,NOM,1.19,1,5
doper,VER,0.35,1,5
dopes,NOM,0,0,0
dopes,VER,0.05,0,0
dopez,VER,0.02,0,0
dopee,VER,0.05,0,0
dopes,VER,0.06,0,0
dorer,VER,0.23,1,5
dorme,VER,4.13,0,0
dormi,VER,41.25,0,0
doree,VER,0.46,0,5
doree,ADJ,2.31,0,5
doree,NOM,0.2,1,5
dores,VER,0.52,0,0
dores,ADJ,1.53,0,0
doser,VER,0.13,1,5
doses,NOM,4.21,0,0
doses,VER,0.17,0,0
dosee,VER,0.01,0,0
doses,VER,0.03,0,0
doter,VER,0.34,1,4
dotee,VER,0.99,0,0
dotee,ADJ,0.15,0,0
dotes,VER,0.61,0,0
dotes,ADJ,0.01,0,0
douar,NOM,0,1,5
douce,NOM,0.01,1,5
douce,ADJ,44.7,0,5
douer,VER,0,1,5
douma,NOM,0.34,1,4
doura,NOM,0,1,5
douro,NOM,0,1,5
douta,VER,0.03,0,0
doute,NOM,97.51,1,5
doute,VER,37.83,0,5
doute,VER,3.77,0,0
douve,NOM,0.06,1,4
douze,ADJ:num,21.81,1,5
douee,VER,8.03,0,0
douee,ADJ,4.41,0,0
doues,VER,0.84,0,0
doues,ADJ,1.03,0,0
doyen,NOM,3.12,1,5
drags,NOM,0.14,0,0
drain,NOM,0.93,1,5
drame,NOM,13.48,1,5
drapa,VER,0,0,0
drape,VER,0.14,0,0
draps,NOM,15.54,0,0
drape,VER,0.16,0,5
drape,ADJ,0.03,1,5
drape,NOM,0.11,1,5
drave,NOM,0,1,5
drift,NOM,0.04,1,5
drill,NOM,0.01,1,5
dring,ONO,0.32,1,5
drink,NOM,0.89,1,5
drive,NOM,1.41,1,5
drive,VER,0,0,0
droit,ADJ,38.33,1,5
droit,ADV,31.48,1,5
droit,NOM,175.6,1,5
drome,NOM,0.01,1,5
drone,NOM,0.88,1,5
drope,VER,0,0,0
drope,VER,0,0,0
dross,NOM,0,1,5
drues,ADJ,0,0,0
drums,NOM,0.04,1,5
druze,ADJ,0.4,1,4
drege,NOM,0.01,1,3
drole,ADJ,138.46,1,5
drole,NOM,13.59,1,5
ducal,ADJ,0.02,1,5
ducat,NOM,0.2,1,5
duces,NOM,0,0,0
duche,NOM,0.06,1,5
ducon,NOM,6.86,1,4
dudit,PRE,0.16,1,3
duels,NOM,1.37,0,0
dunes,NOM,2.41,0,0
duodi,NOM,0,1,5
duper,VER,1.96,1,5
dupes,ADJ,0.34,0,0
dupes,NOM,0.66,0,0
dupes,VER,0.03,0,0
dupez,VER,0.14,0,0
dupee,VER,0.18,0,0
dupes,VER,0.81,0,0
durci,ADJ,0.16,1,5
durci,VER,0.14,0,5
durer,VER,20.59,1,5
dures,ADJ,4.05,0,0
dures,NOM,0.37,0,0
dures,VER,0.02,0,0
durit,NOM,0.04,1,5
durat,VER,0,0,0
duree,VER,0.37,0,4
duree,NOM,6.84,1,4
dusse,VER,0.28,0,0
duvet,NOM,1.58,1,5
dykes,NOM,0,0,0
dynes,NOM,0.01,0,0
deche,NOM,0.38,1,3
demes,NOM,0,0,0
debat,NOM,7.77,1,5
debat,VER,1.23,0,5
debit,NOM,1.1,1,5
debut,NOM,109.88,1,5
decan,NOM,0.02,1,5
dechu,VER,0.51,0,5
dechu,ADJ,0.59,1,5
